id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords,proofread_from
LAT030-001,千秋万岁编外集,校对轮,已校对,政治,国际法不能只管别人,现在世界舆论几乎一致谴责伊拉克，布什总统口口声声国际法、口口声声国际行为的规范，好像是义正词严，但是没有多久以前，美国悍然侵占格林纳达、巴拿马，合乎国际法吗？美国将外国的元首捉将回来受审，算是什么国际规范呢？更不要说在尼加拉瓜港口布水雷了。文明国不文明，又怎能教野蛮国文明呢？,001.美国又喜欢联合国了（汪子飏）.txt,9,《大李敖全集6.0》分章节/003.惊世杂文类/015.千秋万岁编外集/001.美国又喜欢联合国了（汪子飏）.txt,"美国,联合国,国际法,强权政治",LAT030-001
LAT030-002,千秋万岁编外集,校对轮,已校对,政治,假选举只是骗人把戏,但是，没过几天，国民党中央委员会通过一个决议，决定余井塘为特邀国大代表。这说明什么呢？它告诉人们，国民党的选举只不过是一套骗人的把戏罢了！,006.余井塘竞选国大代表的丑剧（徐恩庆）.txt,14,《大李敖全集6.0》分章节/003.惊世杂文类/015.千秋万岁编外集/006.余井塘竞选国大代表的丑剧（徐恩庆）.txt,"国民党,选举,国大代表,政治",LAT030-003
LAT030-003,千秋万岁编外集,校对轮,已校对,政治,选票可以被地方关系操纵,我携带运动费二百元回到闻喜后，始向县长朱守正说明来意，吹嘘了一顿我和王怀明的关系，说王怀明是奉“阎主任”之命来竞选的，朱守正只得唯命是听。下一着就是向叶晴溪说项了，利用叶晴溪与我父的友谊关系，向其陈明利害所在，应当见机而做，留有余地，不要硬走极端。经过再三解释后，叶晴溪权衡利害，被迫表示让步，并反过来愿意为王帮忙，反敌为友。看来此事已有九分把握了。从此我便利用我父亲在闻喜的地位（闻喜中学校长），与叶晴溪协商合作，拉拢与官府息息相通的金源合钱庄经理文有章，大吃大喝，纸烟金丹，尽量供应，并宴请了些有头面的人物为之奔走。到了选举那天，在各区及县城广设茶水站，招待所谓选民，并用酒饭款待办理“选举”的人员。选民们在这些人的操纵把持下，纷纷在选票上所印“王怀明”的名字上用铜笔帽盖上一个黑圈了事，有的干脆由办理选举人员代为加盖，选民根本不知道是怎么一回事情，只是彼此哈哈一笑完事。这一场导演“选举”的滑稽戏，就此草草结束。全县十数万选民，算是一致把王怀明这位“国民大会代表”“选举”出来了。,008.闻喜选举“国大”代表的黑幕（张纯如）.txt,4,《大李敖全集6.0》分章节/003.惊世杂文类/015.千秋万岁编外集/008.闻喜选举“国大”代表的黑幕（张纯如）.txt,"国大代表,选举黑幕,地方关系,政治",LAT030-004
LAT030-004,千秋万岁编外集,校对轮,已校对,法权,秘密监狱用黑暗捆绑治人,被逮捕到“屋顶花园”去的人，都要先被捜身，所有的钞票、字据以至裤带都要没收，然后才推进黑暗的牢房。房中没有床，只有几堆稻草丢在潮湿的地上，大家或坐或睡都是在这散发霉味的稻草上，三个人同盖一条那时国民党发给士兵用的薄薄的旧棉被。特务们为防止“犯人”打破木房逃跑，每晚八、九点钟时，就拿一根长棕绳将三个人的双手反背捆紧，人被反背捆住双手后，就只能平仰着睡，三人当中谁要动一下，就牵动着其他的两个人。那条又脏又薄又臭又短的被子，盖着头就盖不着脚。自己的身躯压着自己被捆着的双手，又不能翻动，睡到下半夜，手就被压得麻木疼痛，一直要等到第二天上午八、九点钟，特务才来解绑。我被逮捕进去时，便是和邱在先、宋大辉三人被一根棕绳捆着睡觉的。半个月后，我们的手腕都发肿了；两个多月后手腕便出现两道紫红色的血痕。我们入狱的时候，正是严寒透骨的农历腊月，白天，只有用双脚跳动止冷，晚上和衣而卧，冷得发抖。,012.国民党特务机关的一所秘密监狱（黄炜）.txt,9,《大李敖全集6.0》分章节/003.惊世杂文类/015.千秋万岁编外集/012.国民党特务机关的一所秘密监狱（黄炜）.txt,"秘密监狱,特务,身体自由,法权",LAT030-006
LAT030-005,千秋万岁编外集,校对轮,已校对,法权,特务审讯只有暴力和套话,特务们经常在深夜进行审讯，花园内的“花厅”便是审讯室。特务头子王伯奇最横蛮，他手中总不离一根黑色的手杖，审讯时的第一句话就是问：“你是不是共产党？快说！”如果回答“是”，他就抡起手杖朝被审讯者身上抽打，像一头发疯的野兽连声吼叫：“你危害民国！”如果答应“不是”，他也是暴跳如雷，照样用手杖抽打说：“你还装！你还不老实！你说不说？”或者冷笑着说：“你搞的这一套，我也搞过，你的事还瞒得过我吗？”凡是经过王伯奇审讯过的人，都知道答应“是”或“不是”都要遭毒打一顿，只有不开口，随他乱吼乱叫，他便无法审讯下去了。特务朱兴伟审讯又是另一套手法，他装得“温文儒雅”，还让被审讯者抽烟喝水，坐下来慢慢谈，甚至还假惺惺地“关怀”一下身体、前途之类。他自称读过“资本论”，懂得辩证法，首先来一套：“只有三民主义才合乎中国国情”的“理论”，再拐弯抹角地谈到他所要审讯的问题。,012.国民党特务机关的一所秘密监狱（黄炜）.txt,14,《大李敖全集6.0》分章节/003.惊世杂文类/015.千秋万岁编外集/012.国民党特务机关的一所秘密监狱（黄炜）.txt,"特务,审讯,暴力,法权",LAT030-007
LAT030-006,千秋万岁编外集,校对轮,已校对,法权,集中营用编号抹掉姓名,凡被押送到集中营的人，首先要把随身所有的现款、首饰、手表、钢笔、书信等缴出；再行严密搜身，然后编号，说明此号即为营中通用的姓名，互相呼唤，均喊代号，不准互通真实姓名，更不准互谈案情，违者加重处分；后进营的人，亦不能将外面的情况告诉先进营的人；如有获释之人，亦须搜身检查，穿着的棉衣则须脱下，逐块逐处的摸捏，若发现有信件或地址纸片等藏在其中，当即还押，轻者长期监禁，重者判处死刑。,016.我所经历的蒋特三个集中营的内幕（黄彤光）.txt,16,《大李敖全集6.0》分章节/003.惊世杂文类/015.千秋万岁编外集/016.我所经历的蒋特三个集中营的内幕（黄彤光）.txt,"集中营,编号,人格剥夺,法权",LAT030-009
LAT030-007,千秋万岁编外集,校对轮,已校对,法权,暗室锁禁摧毁囚人身体,我是在一九四三年四月被送到集中营的。听说在这以前叫做监狱，主任是刽子手何子祯，所有被监禁的人，终日终年地锁在屋子里，留一小窗孔，做为送饭食的口子。连这个小小的窗口，平时也是用黑布挡着，只有送饭时才把黑布拉开一下，不要说出屋放封散步，连向窗口张望一下都不可能。因此，无人不生病，有的病情严重，太阳出来时，可以出屋晒上十分钟太阳，这是所谓照顾病人的特殊待遇。贵州天气时常阴雨，偶在天晴之日，就在院中置一木栊，和动物园中关老虎的栊子差不多，凡有病的人，轮流从屋子里被拉出来关进木栊，站着晒上十分钟。但是，因为人长期被关在阴湿暗室中，忽然接触自然界的空气与太阳，身体疲弱，不堪支持，凡出来晒太阳的人，常会晕倒在栊中。栊小，人倒不下去，只有软摊在栊栅上。黄显声先生曾目睹此情况，他每每谈到此事，气愤填胸，大骂这种惨无人道的行为。,016.我所经历的蒋特三个集中营的内幕（黄彤光）.txt,21,《大李敖全集6.0》分章节/003.惊世杂文类/015.千秋万岁编外集/016.我所经历的蒋特三个集中营的内幕（黄彤光）.txt,"集中营,监禁,身体,法权",LAT030-010
LAT030-008,千秋万岁编外集,校对轮,已校对,法权,赦免特权只给军统同志,这里还要说明一点：在“修养人”中有“同志”与“非同志”之分。其所谓“同志”，是指原为军统分子，因违犯军统纪律而关起来的特务分子；所谓“非同志”，是指社会上被绑架来的人。造“修养人”名册时，这两种人是分开造册的。在每年一次的“四一”大会时，只有属于“同志”名册内的人，才有被赦免的机会。赦免对“非同志”是不适用的。,016.我所经历的蒋特三个集中营的内幕（黄彤光）.txt,26,《大李敖全集6.0》分章节/003.惊世杂文类/015.千秋万岁编外集/016.我所经历的蒋特三个集中营的内幕（黄彤光）.txt,"集中营,军统,赦免特权,法权",LAT030-011
LAT030-009,千秋万岁编外集,校对轮,已校对,写作,社论署名才对读者负责,胡先生编《独立评论》的时候，坚持不得有不署名的社论，他要求每一位编辑委员，无论写什么都要署名。他认为不署名是不对的，因为不会有两个人对一个问题的想法是完全相似的，假如意见相同，也只是在一般的趋向，不是在每一个观点，或是在每一个具体的细节。一个杂志只有说明什么人对每一期发表的主要评论负责任，才算是对读者忠实。,019.我看胡适之先生（蒋廷黻）.txt,4,《大李敖全集6.0》分章节/003.惊世杂文类/015.千秋万岁编外集/019.我看胡适之先生（蒋廷黻）.txt,"独立评论,署名,责任,写作",LAT030-013
LAT030-010,千秋万岁编外集,校对轮,已校对,知识,吸收科学才能打开未来,在思想方面，胡先生常说这一代可以享受两件宝贵的财产，是前代的中国人所没有的，那就是现代科学和西方文化。关于现代科学，我不愿意多谈，因为在今天的中国并没有人反对它。但是我愿意谈一点关于西方文化的问题。胡先生了解中西文化的不同，一如了解其相似点。他对两者都有明确的体会，他所以明白表示他赞美西方文化的繁复与丰富，第一是因为他的确相信这种文化，第二是因为中国文化可以从学习现代科学和西方文化变得更丰富。的确是如此，如果中国文化不能吸收现代科学和西方文化的若干因素，中国就等于故意自己杜塞进入思想的新境界的可能。保守主义者忠于中国的过去，胡先生则忠于中国的过去与未来。他要求现代和后代的中国人向前看，不要向后看。他希望中国人达到新的崇高成就，而不是自满于古人已经做过的事情。因此，他的思想是启示我们以新的更大的努力，去发展一个比过去更辉煌的中国文化。,019.我看胡适之先生（蒋廷黻）.txt,15,《大李敖全集6.0》分章节/003.惊世杂文类/015.千秋万岁编外集/019.我看胡适之先生（蒋廷黻）.txt,"胡适,现代科学,西方文化,知识",LAT030-014
