id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords,proofread_from
LAT011-001,独白下的传统,校对轮,已校对,知识,旧学缺少方法训练,古人实在不能了解中国，因为他们缺乏方法训练，笨头笨脑的。明末清初第一流的大学者顾炎武，他翻破了古书，找了一百六十二条证据来证明“服”字古音念“逼”，但他空忙了一场，他始终没弄清“逼”字到底怎么念，也不知道问问吃狗肉的老广怎么念。顾炎武如此误入歧途，劳而无功，而他却还算是第一流的经世致用的知识分子！又如清朝第一流的大学者俞正燮，他研究了中国文化好多年，竟下结论中国人肺有六叶，洋鬼子四叶；中国人心有七窍，洋鬼子四窍；中国人肝在心左边，洋鬼子肝在右边；中国人睾丸有两个，洋鬼子睾丸有四个。……并且，中国人信天主教的，是他内脏数目不全的缘故！俞正燮如此误入歧途，劳而无功，而他却还算是第一流的经世致用的知识分子。,001.快看《独白下的传统》.txt,18,《大李敖全集6.0》分章节\002.精品散文类\003.独白下的传统\001.快看《独白下的传统》.txt,"古书,方法训练,旧学",LAT011-001
LAT011-002,独白下的传统,校对轮,已校对,知识,新学究仍遮蔽中国,20世纪以后，中国第一流的知识分子，在了解中国方面，有没有新的进度与境界呢？有。他们的方法比较讲究了、头脑比较新派了，他们从象鼻子、象腿、象尾巴开始朝上摸了。最后写出来的成绩如何呢？很糟。除了极少数的例外，他们只是一群新学究。西学为体，中学为用。其实天知道他们通了多少西学，天知道他们看了多少中学。他们是群居动物，很会垄断学术、专卖学术和拙劣宣传他们定义下的学术。于是，在他们多年的乌烟瘴气下，中国的真面目，还是土脸与灰头。,001.快看《独白下的传统》.txt,19,《大李敖全集6.0》分章节\002.精品散文类\003.独白下的传统\001.快看《独白下的传统》.txt,"新学究,垄断学术,中国真相",LAT011-002
LAT011-003,独白下的传统,校对轮,已校对,写作,文字作品被传统缠住,中国知识分子失败了。有两大方面的失败：一方面是品格上的，一方面是思想上的。思想上失败的特色是：他们很混、很糊涂、很笨。他们以知识为专业，结果却头脑不清，文章不行。这种特色不但使他们品格诸善莫做，并且扶同为恶而不自知；在思想上，也不能深入群众，影响普遍的中国人。他们写的东西，只能自我陶醉，或者给互相捧场的同流货色一起陶醉，实际上，实在不成东西。对绝大部分中国知识分子的作品，我看来看去，只是可怜的“小脚作品”。它们的集体悲剧，乃是在不论它们的呈现方式是什么，它们所遭遇的共同命运，都是“被层层桎梏”的命运。不论它们的呈现方式是“散文”、“骈文”、“时文”、“八股文”、“语体文”，是“论辨”、“序跋”、“志传”、“奏议”、“哀祭”、“书牍”、“诏令”、“论文”，是“诗”、“词”、“歌”、“赋”、“颂赞”、“箴铭”、“弹词”、“小说”，是“气”、“骨”、“神”、“势”、“实”、“虚”、“韵”、“逸”、“用典”、“白描”，是“简洁”、“蔓衍”、“谈理”、“抒情”、“刚健”、“优柔”、“平朴”、“绚丽”，或是“革新”、“守旧”、“创新”、“追摹”、“独造”……不论从哪一路的进退冲守，都是“小脚如来”的“掌心行者”，都不能逃开共同被传统“桎梏”、“修理”的命运。在这共同命运之下，“文体”的争论也好、“诗体”的争论也罢，乃至什么“雅”“俗”之分、“刚”“柔”之异、“古”“今”之别、“朝”“派”之变、“文”“白”之争……从如来掌心以外来看，它们所能表示的，至多只是被“修理”的轻重深浅而已。换句话说，它们统统都多少被传统的水平观念缠住、被传统的社会背景缠住、被传统的意识形态缠住、被传统的粗糙肤浅缠住。……这样的一缠再缠，中国的作品便一直在“裹脚布”中行走，不论十个脚趾如何伸缩动静，都无助于它在一出世后就被扭折了的骨头。,001.快看《独白下的传统》.txt,32,《大李敖全集6.0》分章节\002.精品散文类\003.独白下的传统\001.快看《独白下的传统》.txt,"文字遗产,传统桎梏,小脚作品",LAT011-004
LAT011-004,独白下的传统,校对轮,已校对,人格,特立独行在中国难长成,所以，理论上，特立独行的知识分子，在中国很难存在，存在也很难长大，长大也很难茁壮，茁壮也很难持久，持久也很难善终。那么，这些人怎么办呢？这些人想出一个办法，就是隐居。中国第一部正史《史记》作者司马迁，这个特立独行的人，在牢里有一段悲惨生涯——被割掉生殖器；中国第二部正史《汉书》作者班固，这个特立独行的人，曾两次入狱，第一次靠他弟弟班超的面子脱罪，第二次以涉嫌叛乱死在牢里；中国第三部正史《后汉书》作者范晔，这个特立独行的人，也以叛乱罪下狱，同他一个弟弟四个儿子，一起横尸法场。范晔看出来特立独行的下场，在他的书里，他特别为特立独行的人，列了专传，就是《后汉书》里的“独行传”和“逸民传”。这种传记，变成传统，到《晋书》中变成“隐逸传”，《齐书》中变成“高逸传”，《梁书》中变成“处士传”，《魏书》中变成“逸士传”，《南史》以后都叫“隐逸传”。但这种形式的特立独行者，他们只是山林人物、只是不合作主义者，至多只能在品格上特立独行，在思想上还大有问题。换句话说，他们可惜都很笨。他们可能是特立独行的愚者、特立独行的贤者、特立独行的行者、特立独行的勇者、特立独行的作怪者，但很少是特立独行的智者。这些人在中国传统里比例极少，可说只有千万分之一。中国正史里为他们立专传，并不表示他们人多势众，只表示对他们致敬。当然，他们是消极的，消极的高蹈、消极的洁身自好、消极的不能做示众的烈士，只能做示范的隐士。但是，在乱世里，他们能自苦如此，能视富贵如浮云，能坚持信仰、坚持不同流合污，也就天大的不容易了！,001.快看《独白下的传统》.txt,45,《大李敖全集6.0》分章节\002.精品散文类\003.独白下的传统\001.快看《独白下的传统》.txt,"特立独行,隐逸,不合作",LAT011-005
LAT011-005,独白下的传统,校对轮,已校对,知识,理解中国先要回忆传统,精神分析学家看病的时候，必须使病人回忆过去；思想家、批评家、哲学家、历史家面对中国这个庞然大物，也必须如此。中国是一个充满了万年、千年、百年、几十年和十几年大量传统的民族，寿比南山。南山本是传统细壤所积，不了解钙层土（pedocals）和淋余土（pedalfers）的人，不了解土壤；不了解中国“钙层传统”和“淋余传统”的人，又怎么了解中国？,001.快看《独白下的传统》.txt,52,《大李敖全集6.0》分章节\002.精品散文类\003.独白下的传统\001.快看《独白下的传统》.txt,"理解中国,传统,精神分析",LAT011-006
LAT011-006,独白下的传统,校对轮,已校对,写作,写法要让受难者理解中国,这不是写给脸上有口水的人看的书。它的写法，打破了所有的格局与成例。我希望，所有受苦受难的人能看得懂又不看得困；我希望，他们透过这本书，来了解中国，也透过这本书，来了解自己。不论是贩夫走卒、不论是孤儿神女、不论是白日苦工或黑狱亡魂，他们都是受苦受难的中国人，他们是中国的生命，他们是真的中国。,001.快看《独白下的传统》.txt,56,《大李敖全集6.0》分章节\002.精品散文类\003.独白下的传统\001.快看《独白下的传统》.txt,"写法,受难者,了解中国",LAT011-007
LAT011-007,独白下的传统,校对轮,已校对,写作,曲笔会遮蔽历史真相,孔夫子写书的目的，本是要把那些他看不惯的人的行为，记入青史的；但是人总是有缺点的，连孔夫子所尊敬的人和他的亲人、贤者也不例外，竟也有使人看不惯的行为出现，如果孔夫子不管三七二十一，把这些看不惯的行为，一古脑儿写进去了，那么人家一看到，对“所尊敬的人”、对“亲人”和“贤者”的敬意，也就大打了折扣。所以，孔夫子呀，宁愿说谎。这种在历史上说谎，有一个专名词，叫做“曲笔”。“曲笔”就是该直着说的话，要把它歪曲了来说。相反的，有什么，就说什么；该怎么说，就怎么说的做法，也有一个专名词，叫做“直笔”，就是正直的笔。,002.直笔——“乱臣贼子惧”.txt,45,《大李敖全集6.0》分章节\002.精品散文类\003.独白下的传统\002.直笔——“乱臣贼子惧”.txt,"曲笔,直笔,历史真相",LAT011-008
LAT011-008,独白下的传统,校对轮,已校对,法权,史官需要历史独立,现在流行的口号是“司法独立”、“教育独立”，古代若有流行的口号，该是“历史独立”。在古代的史官，他们的地位可说是相当独立的；不但独立，还可以照史官的意思，来写他判断的事实。最有名的例子是文天祥《正气歌》中所说的“在齐太史简，在晋董狐笔”。,002.直笔——“乱臣贼子惧”.txt,51,《大李敖全集6.0》分章节\002.精品散文类\003.独白下的传统\002.直笔——“乱臣贼子惧”.txt,"史官,历史独立,制度",LAT011-009
LAT011-009,独白下的传统,校对轮,已校对,政治,权力窥史会压低直笔,这种制度，到唐朝以后，开始动摇。唐朝的一些皇帝，总忍不住要看史官写些什么。（看看骂老子没有？）这么一来，慢慢的，史官就不敢直笔了。,002.直笔——“乱臣贼子惧”.txt,73,《大李敖全集6.0》分章节\002.精品散文类\003.独白下的传统\002.直笔——“乱臣贼子惧”.txt,"皇帝,史官,直笔",LAT011-010
LAT011-010,独白下的传统,校对轮,已校对,写作,历史不讲感情只求真相,提倡写“直笔”的孔夫子，当他竟也骗人，写了“曲笔”的时候，历史上，也留下他的纪录。历史是不讲感情的，讲感情便不是真历史。历史只讲求真相，由求真的人，不断的、千方百计的记载它的真相。古往今来，许多坏蛋们想逃过历史、改变历史，可是他们全部失败了。历史是一个话匣子，坏蛋们怕人说话，可是历史却说个没完。坏蛋们真没法子。,002.直笔——“乱臣贼子惧”.txt,75,《大李敖全集6.0》分章节\002.精品散文类\003.独白下的传统\002.直笔——“乱臣贼子惧”.txt,"历史,真相,求真",LAT011-011
