id,source_id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT069-001,LAT069-001,李敖写的信,校对轮,已校对,人格,归隐生活不倚赖他人,迁到碧潭来，这是第五天，独居于青山绿水之间，山楼听雨，微服行走，星月泛舟，小菜自烹，吸烟品茗，细读陶诗，……此与外界接触之我也；寡情欲，绝尘想，罕人事，少交往，返于自然，宁静致远，独立于京华烟云之外，不汲汲于声色，不倚靠他人（尤其是女人）对我的“反应”而生活，……此内心之我也。,005.碧潭归隐答CS.txt,6,《大李敖全集6.0》分章节/008.书信函件类/012.李敖写的信/005.碧潭归隐答CS.txt,"人格,归隐生活不倚赖他人,碧潭归隐答CS"
LAT069-002,LAT069-002,李敖写的信,校对轮,已校对,方法,耐受单调才得幸福,真的，我真的“变了样”，至少在今天，我已毫不费力地放弃了感情，驱走了情绪，淡漠了secular娱乐，……我无须弹子、电影与小说来使我获得暂时的解脱，我迷信只有the capacity to endure a more or less monotonous life才能真正得到happiness.,005.碧潭归隐答CS.txt,8,《大李敖全集6.0》分章节/008.书信函件类/012.李敖写的信/005.碧潭归隐答CS.txt,"方法,耐受单调才得幸福,碧潭归隐答CS"
LAT069-003,LAT069-003,李敖写的信,校对轮,已校对,人格,生活方法各自为之,以你我相知之深，挟岁月与俱，人各有志，年齿愈长愈足以判之，各人皆有其一套生活方法与思想模式，或为其颠倒，或为其殉道，别人即或我知，亦难我从，人海苍茫，自行其是，斯可矣，渊明诗：,005.碧潭归隐答CS.txt,11,《大李敖全集6.0》分章节/008.书信函件类/012.李敖写的信/005.碧潭归隐答CS.txt,"人格,生活方法各自为之,碧潭归隐答CS"
LAT069-004,LAT069-005,李敖写的信,校对轮,已校对,知识,目录增补要有专家自信,对这套增补过的目录，我想我实在不必假惺惺地谦虚了，它实在是一套比较完全的目录，我不相信过去还有谁比我做得更“专家”，——即使是会拿绣花针儿的中央研究院院长！,006.给胡适的一封信.txt,5,《大李敖全集6.0》分章节/008.书信函件类/012.李敖写的信/006.给胡适的一封信.txt,"知识,目录增补要有专家自信,给胡适的一封信"
LAT069-005,LAT069-006,李敖写的信,校对轮,已校对,写作,编年表现思想演变,第二、编年最能表现他五十五年来学问思想与兴趣演变的痕迹；,006.给胡适的一封信.txt,8,《大李敖全集6.0》分章节/008.书信函件类/012.李敖写的信/006.给胡适的一封信.txt,"写作,编年表现思想演变,给胡适的一封信"
LAT069-006,LAT069-007,李敖写的信,校对轮,已校对,写作,编收以写作年月为主,6编收方式，以写作年月为主；不可考的，用发表年月。,006.给胡适的一封信.txt,16,《大李敖全集6.0》分章节/008.书信函件类/012.李敖写的信/006.给胡适的一封信.txt,"写作,编收以写作年月为主,给胡适的一封信"
LAT069-007,LAT069-008,李敖写的信,校对轮,已校对,知识,版本校订要详列根据,7版本校订，或用改定稿（像《红楼梦考证》），或用原刊本（像《这一周》当用最早的《文存二集》本），或用新版本（像《丁文江传记》当用再版本），或全载入（像改过十多次的那首《沁园春》），同时要以“编者按”方式详细考订，我举个例：,006.给胡适的一封信.txt,17,《大李敖全集6.0》分章节/008.书信函件类/012.李敖写的信/006.给胡适的一封信.txt,"知识,版本校订要详列根据,给胡适的一封信"
LAT069-008,LAT069-009,李敖写的信,校对轮,已校对,写作,有问题文章不必改动,12有“问题”的文章（像《知难，行亦不易》等）不必忌讳，也不必改动。,006.给胡适的一封信.txt,25,《大李敖全集6.0》分章节/008.书信函件类/012.李敖写的信/006.给胡适的一封信.txt,"写作,有问题文章不必改动,给胡适的一封信"
LAT069-009,LAT069-010,李敖写的信,校对轮,已校对,方法,编年之外还要索引,16全集虽采编年方式，然可做一分类目录或索引。,006.给胡适的一封信.txt,29,《大李敖全集6.0》分章节/008.书信函件类/012.李敖写的信/006.给胡适的一封信.txt,"方法,编年之外还要索引,给胡适的一封信"
LAT069-010,LAT069-011,李敖写的信,校对轮,已校对,人格,不盲捧胡适也不乱骂,两年两个月零四天不见了，我们年轻的一辈自然对你们年老的一辈有一肚子的话要说，但是你太忙了，咱们一直没有机会好好的不受打扰的聊聊，你也始终就听不到一个你的学生对你要说的几句真心话。我不敢说我了解你，但我自信我不愿人云亦云的瞎捧你；也不愿以耳当目的乱骂你，如三十七年北大学生献给你的那面锦旗上说的，你是一个“播种者”，这一点是我们始终承认的。可是你该承认你老了，你虽说你“七十几了，也可以发发脾气了”！但你该知道，你总得承认你已经不是写“新文化运动与国民党”时代的胡适之了！三十五年前，你在刘海粟的“寒梅筹灯图”上题字，你写：,006.给胡适的一封信.txt,42,《大李敖全集6.0》分章节/008.书信函件类/012.李敖写的信/006.给胡适的一封信.txt,"人格,不盲捧胡适也不乱骂,给胡适的一封信"
