id,source_id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT155-001,LAT155-001,我们没有明天,校对轮,已校对,文化,中体西用在现实中早已变成西体西用,这个故事告诉我们，以“中学为体，西学为用”号召的中国人，他们虽然在“体”“用”之间，洋洋自得的予以划分，但却不料鬼子和东洋鬼子的“体”，早已在不知不觉中，附上中国之“体”，结果已是“西学为体，西学为用”。苟有一些中餐西吃式的残余，也只不过是妆点中国门面而已。,001.大江东流，中国西化.txt,3,《大李敖全集6.0》分章节\016.李敖祸台五十年庆祝十书\009.我们没有明天\001.大江东流，中国西化.txt,中体西用;西化;现实
LAT155-002,LAT155-002,我们没有明天,校对轮,已校对,文化,现代中国法律在体用上都已全面西化,举个例说：翻翻一千二百二十五条的《民法》，除了“子女应孝敬父母”和“典权”等极少数的中国门面外，已经全盘西化得一清二楚；再翻翻三百五十七条的《刑法》，除了“意图侮辱创立中华民国之孙先生，而公然损坏、除去或污辱其遗像”等极少数的中国门面外，也已经全盘西化得一清二楚。准此以观，在法律的范畴内，不论“体”“用”，已经没有中国文化了。,001.大江东流，中国西化.txt,4,《大李敖全集6.0》分章节\016.李敖祸台五十年庆祝十书\009.我们没有明天\001.大江东流，中国西化.txt,法律;体用;西化
LAT155-003,LAT155-003,我们没有明天,校对轮,已校对,文化,现代军事教育和武器已全面西化,再以军事为例，所有军事教育中，除了《孙子兵法》等极少数的中国门面外，已经全盘西化得一清二楚；军事武器方面，中国的刀、枪、剑、戟，早已是博物馆的陈列品，所有现代武器，由大到小，一点也看不到中国文化了。,001.大江东流，中国西化.txt,5,《大李敖全集6.0》分章节\016.李敖祸台五十年庆祝十书\009.我们没有明天\001.大江东流，中国西化.txt,军事;武器;西化
LAT155-004,LAT155-004,我们没有明天,校对轮,已校对,文化,逐项比对可见中国文化已无法在现代世界争胜,依此类推，逐项查验，从逻辑到经济、从心理到印刷、从化学到地质、从农业到工业、从电脑到交通。……所有人间学科与万象之中，中国文化残存的，不过是一些古董、古迹、饰品、与点缀而已，如果我们真的肯平心静气的面对现实、真的不自我膨胀的逐一比对，我们必然惭愧的觉悟：中国文化已经完全无法争胜于现代世界，它对现代世界的人儿说来，可以说全无用处。,001.大江东流，中国西化.txt,6,《大李敖全集6.0》分章节\016.李敖祸台五十年庆祝十书\009.我们没有明天\001.大江东流，中国西化.txt,中国文化;现代世界;比对
LAT155-005,LAT155-005,我们没有明天,校对轮,已校对,文化,传统文化对现代中国人的作用常常得不偿失,由此看来，中国文化对现代中国人说来，除了满足自卑感的反射和夸大狂的慰藉外，用处实在不多。当然在凝聚我族我群方面，在提供“中国杂碎”式的零星智慧方面，以及在口腹之欲等生活习惯方面，……对中国人还有它某种程度的作用。但是“挟泥沙俱下”流弊，也实在够瞧的，使人得不偿失之感，亦所在多有也。,001.大江东流，中国西化.txt,8,《大李敖全集6.0》分章节\016.李敖祸台五十年庆祝十书\009.我们没有明天\001.大江东流，中国西化.txt,传统文化;群体凝聚;流弊
LAT155-006,LAT155-006,我们没有明天,校对轮,已校对,文化,文化移植无法任意取长舍短,从张之洞的“中学为体，西学为用”，到萨孟武、何炳松等十教授的《中国本位的文化建设宣言》，到今天中国人的保留中国文化的精华、选择西方文化的优点，这种一厢情愿，多少年来，一直是一种动人心弦的美妙理论。这种美妙理论，听来固然令人快慰，但在实践上，却并无可行性。因为文化移植的，从来不是随你高兴的，你无法“存其所当有，去其所当去”；也无法“取长舍短，择善而从”。哥伦布航海，使欧洲人得到了美洲，但是美洲的梅毒，却也传染到欧洲，就好像非洲的艾滋病传染到世界各洲一样。西方语云：“文明即梅毒。”（Civilization is syphilization），文化移植真相就是如此。不明学理，只知一厢情愿者，无知之徒而已！,001.大江东流，中国西化.txt,9,《大李敖全集6.0》分章节\016.李敖祸台五十年庆祝十书\009.我们没有明天\001.大江东流，中国西化.txt,文化移植;取长舍短;选择
LAT155-007,LAT155-007,我们没有明天,校对轮,已校对,文化,掌权者在政权稳定后会用附庸文化美化自己,上面这个老故事，移之于国民党身上，其实正好套牢。国民党以革命取天下，革命的结果，善类多成先烈先进以去，恶棍却成新贵新宠而来，这些新贵新宠是十足暴发户，他们在窃取政权期间，军事挂帅、政治挂帅、经济挂帅，至于文化嘛，非当务之急，是不重视的，只是附庸而已。可是天下粗定以后、或者喘息方定以后、或者小朝廷宝座坐定以后，他们也会抬出文化来美容一番，比照附庸风雅的说法，这可叫做附庸文化。当然，由于水平所限，附庸来附庸去，他们的文化，只是“酉斋”文化而已。,002.从文化附庸到附庸文化.txt,3,《大李敖全集6.0》分章节\016.李敖祸台五十年庆祝十书\009.我们没有明天\002.从文化附庸到附庸文化.txt,掌权者;附庸文化;美化
LAT155-008,LAT155-008,我们没有明天,校对轮,已校对,文化,缺乏文化水准的官僚会把文化建设变成破坏,正因为当政者是“酉斋”文化，所以它所弄出来的文化水平，也就一塌糊涂。以国民党在台湾搞文化而论，它的抽象口号是“中国文化复兴”；它的具体衙门是“文化局”和“文化建设委员会”。前者成也萧何、败也萧何，都由小官僚王洪钧有始有终，从成立到撤销，如同儿戏。不料儿戏之后，故态复萌，在六年前又成立了“文化建设委员会”，由小官迷陈奇禄主其事。王洪钧与陈奇禄不同的是，他附庸文化，只叫别人献丑，自己尚知藏拙，例如旧历年一到，“文化局”即邀名家写春联，大量印制，分送民间，一若“中国文化复兴”了，春联上的毛笔字，不成龙蛇者姑不论，但每幅春联都落上下款，这倒是千古奇闻，这是哪国的中国文化啊？至于陈奇禄，则连藏拙都不会，不知从哪年开始，这位考古学者忽然一跃而成书法家了，他以文建会主任委员之尊，到处题字，但他的毛笔字写得奇差，貌似魏碑，却像是广告画刷子刷出来的，以这样的书法水平，居然主持文化建设，文化何辜啊！不过，陈奇禄虽然不足以语文化，比起其他台南帮来，他还是为祸较少的。国民党中的台南帮，是最有名的文化杀手。当年叶廷珪做市长时，把台南孔庙内古碑刻文，一一磨掉，重新刻上自己署名的新文，其焚琴煮鹤手法，令人哭笑不得。后来苏南成继起，祸延高雄，竟用推土机对付起左营旧城墙来，一拆古迹，就是十九公尺之多。事后还向电视记者表示：“古迹不是碰不得！”事后国民党文人高阳还在联合报投书，予以迴护，连国民党中自命读书人的，都唐突文化如此，国民党的杀风景，尚何说乎？苏南成之后，台南帮又来了，市长林文雄又打起古迹“亿载金城”的主意，不但计划要拆除正门的护城河上古桥，并且要沿全城四周耸建十三公尺的“万里长城”和“迪斯尼式”的游乐设施以“保护”之！走笔至此，真是越写越不胜写矣！文化何辜，竟遭国民党附庸至此，倒霉千古矣！,002.从文化附庸到附庸文化.txt,4,《大李敖全集6.0》分章节\016.李敖祸台五十年庆祝十书\009.我们没有明天\002.从文化附庸到附庸文化.txt,文化政策;官僚;文化水准
LAT155-009,LAT155-009,我们没有明天,校对轮,已校对,写作,作者与读者程度悬殊会扩大阅读距离,人们常常注意许多人不会写文章，却常常忽略许多人不会看文章；人们常常笑作者带不动读者，却常常忘了笑读者跟不上作者。这种写文章与看文章间的悬殊、作者与读者的距离，在两者相差有限时，都会发生，若文章写得出神入化，作者程度高人一等，两者相差，就更大了。,003.台湾没有水准.txt,2,《大李敖全集6.0》分章节\016.李敖祸台五十年庆祝十书\009.我们没有明天\003.台湾没有水准.txt,读者;作者;距离
LAT155-010,LAT155-010,我们没有明天,校对轮,已校对,写作,有水准的读者即使不懂也知道尊重好文章,在以前，教育不普及，能受教育的，本身已经出类拔萃，这些人看文章，做读者，水平跟写文章的作者比较近，至少可以上追作者。所以，那时候的作者，文章一出，洛阳纸贵，纵使遭到批评，因为批评的人有水准，大家也没得话说。例如汪容甫恃才傲物，把同时代的人的文章，骂得一文不值，但是他的骈文为清朝第一人，大家推服无间；又如章太炎眼空四海，把同时代林琴南的文章，直斥为从唐人传奇剽窃衍演而来，但是他的古文为最后押阵大将，大家也心服口服。以前的人容或不尽懂汪容甫、章太炎的文章，但是他们至少见过世面，知道什么是好文章、知道作者有大学问、有来头。换句话说，那时候的读者，即使没吃过猪肉，也见过猪走路，他们识货，他们对文章，是不敢信口雌黄的。,003.台湾没有水准.txt,3,《大李敖全集6.0》分章节\016.李敖祸台五十年庆祝十书\009.我们没有明天\003.台湾没有水准.txt,读者;水准;好文章
